Date,Open,High,Low,Close,Adj Close,Volume
2019-06-06,1.3422,1.3429,1.3362,1.342,1.342,0
2019-06-07,1.33574,1.33658,1.32662,1.3354,1.3354,0
2019-06-10,1.3267,1.32779,1.32516,1.32689,1.32689,0
2019-06-11,1.32649,1.32932,1.3249,1.32652,1.32652,0
2019-06-12,1.3279,1.33039,1.3273,1.32802,1.32802,0
2019-06-13,1.33339,1.3339,1.3299,1.3333,1.3333,0
2019-06-14,1.3325,1.33866,1.3325,1.33273,1.33273,0
2019-06-17,1.3408,1.34181,1.3393,1.3409,1.3409,0
2019-06-18,1.3408,1.34316,1.3384,1.341,1.341,0
2019-06-19,1.33734,1.33817,1.33398,1.3374,1.3374,0
2019-06-20,1.32691,1.32691,1.31517,1.32697,1.32697,0
2019-06-21,1.31854,1.32245,1.31628,1.31831,1.31831,0
2019-06-24,1.32008,1.32127,1.3176,1.32004,1.32004,0
2019-06-25,1.31824,1.31953,1.3152,1.3181,1.3181,0
2019-06-26,1.3174,1.31907,1.31095,1.31784,1.31784,0
2019-06-27,1.31227,1.31371,1.3107,1.3121,1.3121,0
2019-06-28,1.30935,1.31006,1.30633,1.30943,1.30943,0
2019-07-01,1.30905,1.31274,1.3083,1.30904,1.30904,0
2019-07-02,1.31344,1.31374,1.3107,1.3132,1.3132,0
2019-07-03,1.31003,1.31181,1.3065,1.3096,1.3096,0
2019-07-04,1.30567,1.30786,1.3038,1.30571,1.30571,0
2019-07-05,1.3048,1.31356,1.3046,1.30484,1.30484,0
2019-07-08,1.30782,1.30984,1.3049,1.30756,1.30756,0
2019-07-09,1.3103,1.31371,1.3096,1.31021,1.31021,0
2019-07-10,1.31289,1.3139,1.3068,1.3125,1.3125,0
2019-07-11,1.30733,1.30902,1.304,1.3073,1.3073,0
2019-07-12,1.30688,1.30688,1.3016,1.30675,1.30675,0
2019-07-15,1.3032,1.30503,1.3019,1.3033,1.3033,0
2019-07-16,1.3048,1.30627,1.3021,1.30475,1.30475,0
2019-07-17,1.3085,1.30923,1.30388,1.30865,1.30865,0
2019-07-18,1.30548,1.30944,1.3039,1.3053,1.3053,0
2019-07-19,1.30339,1.3106,1.3023,1.30356,1.30356,0
2019-07-22,1.30552,1.31173,1.30398,1.3052,1.3052,0
2019-07-23,1.31287,1.31622,1.312,1.3126,1.3126,0
2019-07-24,1.314,1.31464,1.3118,1.31391,1.31391,0
2019-07-25,1.31436,1.3151,1.3115,1.31428,1.31428,0
2019-07-26,1.31615,1.31971,1.3154,1.3158,1.3158,0
2019-07-29,1.3168,1.31818,1.31485,1.3169,1.3169,0
2019-07-30,1.31654,1.31899,1.3159,1.31635,1.31635,0
2019-07-31,1.3149,1.31563,1.3108,1.31476,1.31476,0
2019-08-01,1.31951,1.32461,1.3193,1.3193,1.3193,0
2019-08-02,1.32117,1.32652,1.3208,1.32139,1.32139,0
2019-08-05,1.32033,1.3247,1.31776,1.32029,1.32029,0
2019-08-06,1.3215,1.32662,1.31869,1.32141,1.32141,0
2019-08-07,1.32808,1.3344,1.3269,1.32803,1.32803,0
2019-08-08,1.33128,1.33128,1.32366,1.33115,1.33115,0
2019-08-09,1.32288,1.3273,1.3206,1.3228,1.3228,0
2019-08-12,1.3215,1.32495,1.32127,1.32174,1.32174,0
2019-08-13,1.32354,1.329,1.31904,1.32362,1.32362,0
2019-08-14,1.32142,1.33209,1.32109,1.3212,1.3212,0
2019-08-15,1.3309,1.33381,1.3287,1.331,1.331,0
2019-08-16,1.33189,1.33236,1.3275,1.33169,1.33169,0
2019-08-19,1.32679,1.3308,1.3251,1.32669,1.32669,0
2019-08-20,1.33289,1.33434,1.3308,1.33278,1.33278,0
2019-08-21,1.33177,1.33181,1.3253,1.3315,1.3315,0
2019-08-22,1.32862,1.33139,1.32751,1.3286,1.3286,0
2019-08-23,1.32953,1.33385,1.32793,1.32953,1.32953,0
2019-08-26,1.3312,1.3314,1.32676,1.3313,1.3313,0
2019-08-27,1.32525,1.32829,1.3223,1.32522,1.32522,0
2019-08-28,1.32848,1.33175,1.3284,1.32852,1.32852,0
2019-08-29,1.33069,1.33182,1.3271,1.3307,1.3307,0
2019-08-30,1.32829,1.33104,1.3249,1.3281,1.3281,0
2019-09-02,1.33183,1.3358,1.331,1.3317,1.3317,0
2019-09-03,1.33332,1.33807,1.3327,1.3333,1.3333,0
2019-09-04,1.3338,1.3338,1.3238,1.33383,1.33383,0
2019-09-05,1.32254,1.3244,1.3192,1.32253,1.32253,0
2019-09-06,1.32294,1.3234,1.3159,1.3229,1.3229,0
2019-09-09,1.31686,1.31763,1.31392,1.3168,1.3168,0
2019-09-10,1.31689,1.31898,1.3135,1.31689,1.31689,0
2019-09-11,null,null,null,null,null,null
2019-09-12,null,null,null,null,null,null
2019-09-13,null,null,null,null,null,null
2019-09-16,null,null,null,null,null,null
2019-09-17,null,null,null,null,null,null
2019-09-18,null,null,null,null,null,null
2019-09-19,null,null,null,null,null,null
2019-09-20,null,null,null,null,null,null
2019-09-23,null,null,null,null,null,null
2019-09-24,null,null,null,null,null,null
2019-09-25,null,null,null,null,null,null
2019-09-26,null,null,null,null,null,null
2019-09-27,null,null,null,null,null,null
2019-09-30,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-10-02,null,null,null,null,null,null
2019-10-03,null,null,null,null,null,null
2019-10-04,null,null,null,null,null,null
2019-10-07,null,null,null,null,null,null
2019-10-08,1.3303,1.33351,1.3286,1.33024,1.33024,0
2019-10-09,null,null,null,null,null,null
2019-10-10,1.33329,1.33439,1.327,1.3335,1.3335,0
2019-10-11,1.32869,1.32995,1.31706,1.32859,1.32859,0
2019-10-14,1.32022,1.32333,1.31994,1.3199,1.3199,0
2019-10-15,1.3224,1.32384,1.31972,1.3224,1.3224,0
2019-10-16,1.32048,1.32273,1.31835,1.3202,1.3202,0
2019-10-17,1.3203,1.3211,1.313,1.32,1.32,0
2019-10-18,1.31361,1.31431,1.3127,1.31358,1.31358,0
2019-10-21,1.31317,1.31363,1.3096,1.3132,1.3132,0
